# 50 most liquid S&P 500 names by MEDIAN DAILY DOLLAR VOLUME over
# 2018-01-01..2018-08-01 -- strictly before the 2018-08-01 study start,
# so the selection uses no information from the period being tested.
# Ranking on today's liquidity, or on the whole sample, would pick the
# names that went on to become heavily traded -- the same survivorship
# mistake as using today's index members.
# generated 2026-08-12T19:59:00Z
rank,ticker,median_daily_dollar_volume
1,AMZN,7550966161
2,AAPL,5323909916
3,FB,3956025082
4,NFLX,3192914198
5,NVDA,3036758780
6,MSFT,2958623246
7,MU,2354736172
8,GOOGL,2211653466
9,BAC,2118030070
10,GOOG,1868571336
11,JPM,1723102177
12,BA,1583029435
13,INTC,1529800693
14,C,1217047282
15,T,1173334424
16,XOM,1160420440
17,WFC,1141332490
18,CSCO,1083944111
19,V,1073671690
20,GE,1051388070
21,JNJ,976145811
22,CMCSA,931465658
23,HD,926671978
24,AVGO,925093568
25,BRK.B,901515966
26,CVX,873048975
27,DIS,870975513
28,PFE,853145406
29,TWTR,841726613
30,BKNG,839997490
31,VZ,818198825
32,WMT,811487042
33,UNH,796504264
34,GS,794023415
35,ORCL,793496808
36,PG,773507411
37,CAT,757929988
38,AMAT,734701632
39,ABBV,718299118
40,IBM,715829476
41,MA,705861753
42,AMD,700409740
43,PYPL,693420765
44,MRK,683542315
45,MCD,679280844
46,CELG,661538960
47,CRM,652325770
48,ADBE,648331224
49,QCOM,642729623
50,LRCX,641349634
