# S&P 500 point-in-time membership, month-end snapshots
# generated 2026-08-12T03:57:11Z by tools/build_universe.py
# source: en.wikipedia.org revision history of 'List of S&P 500 companies'
# LIMITS: editor lag of a few days around index changes; no CIK-level
#   continuity, so a reused ticker is indistinguishable; month-end
#   sampling, so a name added and dropped within one month is invisible.
# This is NOT survivorship-free in the CRSP sense, but it does contain
#   the names that were later delisted, acquired or demoted -- which is
#   the bias that matters for momentum.
as_of,ticker,revid
2018-08-31,MMM,857297425
2018-08-31,ABT,857297425
2018-08-31,ABBV,857297425
2018-08-31,ABMD,857297425
2018-08-31,ACN,857297425
2018-08-31,ATVI,857297425
2018-08-31,ADBE,857297425
2018-08-31,AMD,857297425
2018-08-31,AAP,857297425
2018-08-31,AES,857297425
2018-08-31,AET,857297425
2018-08-31,AMG,857297425
2018-08-31,AFL,857297425
2018-08-31,A,857297425
2018-08-31,APD,857297425
2018-08-31,AKAM,857297425
2018-08-31,ALK,857297425
2018-08-31,ALB,857297425
2018-08-31,ARE,857297425
2018-08-31,ALXN,857297425
2018-08-31,ALGN,857297425
2018-08-31,ALLE,857297425
2018-08-31,AGN,857297425
2018-08-31,ADS,857297425
2018-08-31,LNT,857297425
2018-08-31,ALL,857297425
2018-08-31,GOOGL,857297425
2018-08-31,GOOG,857297425
2018-08-31,MO,857297425
2018-08-31,AMZN,857297425
2018-08-31,AEE,857297425
2018-08-31,AAL,857297425
2018-08-31,AEP,857297425
2018-08-31,AXP,857297425
2018-08-31,AIG,857297425
2018-08-31,AMT,857297425
2018-08-31,AWK,857297425
2018-08-31,AMP,857297425
2018-08-31,ABC,857297425
2018-08-31,AME,857297425
2018-08-31,AMGN,857297425
2018-08-31,APH,857297425
2018-08-31,APC,857297425
2018-08-31,ADI,857297425
2018-08-31,ANDV,857297425
2018-08-31,ANSS,857297425
2018-08-31,ANTM,857297425
2018-08-31,AON,857297425
2018-08-31,AOS,857297425
2018-08-31,APA,857297425
2018-08-31,AIV,857297425
2018-08-31,AAPL,857297425
2018-08-31,AMAT,857297425
2018-08-31,APTV,857297425
2018-08-31,ADM,857297425
2018-08-31,ARNC,857297425
2018-08-31,ANET,857297425
2018-08-31,AJG,857297425
2018-08-31,AIZ,857297425
2018-08-31,T,857297425
2018-08-31,ADSK,857297425
2018-08-31,ADP,857297425
2018-08-31,AZO,857297425
2018-08-31,AVB,857297425
2018-08-31,AVY,857297425
2018-08-31,BHGE,857297425
2018-08-31,BLL,857297425
2018-08-31,BAC,857297425
2018-08-31,BK,857297425
2018-08-31,BAX,857297425
2018-08-31,BBT,857297425
2018-08-31,BDX,857297425
2018-08-31,BRK.B,857297425
2018-08-31,BBY,857297425
2018-08-31,BIIB,857297425
2018-08-31,BLK,857297425
2018-08-31,HRB,857297425
2018-08-31,BA,857297425
2018-08-31,BKNG,857297425
2018-08-31,BWA,857297425
2018-08-31,BXP,857297425
2018-08-31,BSX,857297425
2018-08-31,BHF,857297425
2018-08-31,BMY,857297425
2018-08-31,AVGO,857297425
2018-08-31,BR,857297425
2018-08-31,BF.B,857297425
2018-08-31,CHRW,857297425
2018-08-31,CA,857297425
2018-08-31,COG,857297425
2018-08-31,CDNS,857297425
2018-08-31,CPB,857297425
